0.69 -> 7.19 今回は日本語音声なしの英語のオリスニングです。)
7.19 -> 13.19 英語は2回流れます。2回目は日本語の字幕ありです。)
13.19 -> 14.69  team lunch)
227.94 -> 231.74  Active listening is key for effective meetings.)
231.74 -> 236.84  Exactly. Office etiquette helps the workplace run smoothly.)
236.84 -> 241.34  It sure does, making everyone comfortable and productive.)
241.34 -> 243.74  Airport ticket counter.)
243.74 -> 247.14  Hi. I need to check in for my flight.)
247.14 -> 250.54  Hello. Sure, I can help you with that.)
250.54 -> 254.14  My flight is to New York at 2.30 p.m.)
254.14 -> 256.84  Let me check your reservation.)
256.84 -> 260.34  I have a ticket booked under the name Jane Smith.)
260.34 -> 264.94  Great. I found your reservation. Can I see your ID please?)
264.94 -> 267.74  Sure. Here's my driver's license.)
267.74 -> 272.44  Thank you, Miss Smith. You're all set. Here's your boarding pass.)
272.44 -> 275.94  Thank you. Which gate should I go to?)
275.94 -> 278.74  You'll be departing from gate 6.)
278.74 -> 282.54  Got it. What time should I be at the gate?)
282.54 -> 287.24  It's a good idea to be at the gate about 45 minutes before your flight.)
287.24 -> 289.04  Thank you for your help.)
289.04 -> 292.34  You're welcome. Have a pleasant flight.)
292.34 -> 294.64  Thanks, and have a nice day.)
294.64 -> 299.97  You too. Safe travels.)
299.97 -> 303.37  Hi. I need to check in for my flight.)
303.37 -> 306.77  Hello. Sure, I can help you with that.)
306.77 -> 310.37  My flight is to New York at 2.30 p.m.)
310.37 -> 313.07  Let me check your reservation.)
313.07 -> 316.57  I have a ticket booked under the name Jane Smith.)
316.57 -> 321.17  Great. I found your reservation. Can I see your ID please?)
321.17 -> 323.97  Sure. Here's my driver's license.)
323.97 -> 328.67  Thank you, Miss Smith. You're all set. Here's your boarding pass.)
328.67 -> 332.17  Thank you. Which gate should I go to?)
332.17 -> 334.97  You'll be departing from gate 6.)
334.97 -> 338.77  Got it. What time should I be at the gate?)
338.77 -> 343.47  It's a good idea to be at the gate about 45 minutes before your flight.)
343.47 -> 345.27  Thank you for your help.)
345.27 -> 348.57  You're welcome. Have a pleasant flight.)
348.57 -> 350.87  Thanks, and have a nice day.)
350.87 -> 354.67  You too. Safe travels.)
354.67 -> 356.57  Opening a bank account.)
356.57 -> 359.47  Hello. How can I assist you today?)
359.47 -> 362.87  Hi. I'd like to open a bank account.)
362.87 -> 366.37  Great. We offer various types of accounts.)
366.47 -> 368.87  What kind are you interested in?)
368.87 -> 372.07  I'm looking for a basic savings account.)
372.07 -> 375.27  Sure. We have a standard savings account.)
375.27 -> 378.77  Do you want a joint account or an individual one?)
378.77 -> 381.87  I'd like an individual account please.)
381.87 -> 386.27  Perfect. To get started, I'll need some identification.)
386.27 -> 389.77  Do you have your ID and proof of address with you?)
389.77 -> 394.37  Yes. I have my driver's license and a recent utility bill.)
394.47 -> 397.87  Excellent. Let me input your information.)
397.87 -> 401.17  Do you have an initial deposit amount in mind?)
401.17 -> 404.17  I'll start with $500.)
404.17 -> 407.97  That works. We also offer online banking.)
407.97 -> 410.17  Would you like to set that up too?)
410.17 -> 412.07  Yes. Please.)
412.07 -> 415.17  Online banking would be convenient.)
415.17 -> 419.27  All right. Here's your account number and debit card.)
419.27 -> 421.67  Your pin will arrive by mail.)
421.77 -> 425.87  Thank you. How long until my account is active?)
425.87 -> 429.27  Your account will be active within 24 hours.)
429.27 -> 431.97  Is there anything else I can assist you with?)
431.97 -> 434.37  No. That's it for now.)
434.37 -> 436.47  Thank you for your help.)
436.47 -> 437.97  You're welcome.)
437.97 -> 441.77  If you have any questions later, feel free to ask.)
441.77 -> 443.37  Have a great day.)
443.37 -> 444.87  You too.)
444.87 -> 449.11  Goodbye.)
449.11 -> 451.91  Hello. How can I assist you today?)
451.91 -> 455.31  Hi. I'd like to open a bank account.)
455.31 -> 458.81  Great. We offer various types of accounts.)
458.81 -> 461.21  What kind are you interested in?)
461.21 -> 464.51  I'm looking for a basic savings account.)
464.51 -> 467.71  Sure. We have a standard savings account.)
467.71 -> 471.21  Do you want a joint account or an individual one?)
471.21 -> 474.31  I'd like an individual account, please.)
474.31 -> 478.61  Perfect. To get started, I'll need some identification.)
478.71 -> 482.21  Do you have your ID and proof of address with you?)
482.21 -> 486.81  Yes. I have my driver's license and a recent utility bill.)
486.81 -> 490.31  Excellent. Let me input your information.)
490.31 -> 493.51  Do you have an initial deposit amount in mind?)
493.51 -> 496.51  I'll start with $500.)
496.51 -> 500.31  That works. We also offer online banking.)
500.31 -> 502.61  Would you like to set that up too?)
502.61 -> 504.51  Yes. Please.)
504.51 -> 507.51  Online banking would be convenient.)
507.61 -> 508.91  All right.)
508.91 -> 511.71  Here's your account number and debit card.)
511.71 -> 514.11  Your pin will arrive by mail.)
514.11 -> 518.21  Thank you. How long until my account is active?)
518.21 -> 521.71  Your account will be active within 24 hours.)
521.71 -> 524.41  Is there anything else I can assist you with?)
524.41 -> 526.81  No. That's it for now.)
526.81 -> 528.91  Thank you for your help.)
528.91 -> 530.41  You're welcome.)
530.41 -> 534.21  If you have any questions later, feel free to ask.)
534.21 -> 535.81  Have a great day.)
535.81 -> 537.21  You too.)
537.21 -> 539.21  Goodbye.)
539.21 -> 541.11  Christmas Festival.)
541.11 -> 544.71  Hi. Are you excited about Christmas this year?)
544.71 -> 548.71  Yes. I can't wait. It's my favorite holiday.)
548.71 -> 552.51  Me too. What do you like most about Christmas?)
552.51 -> 557.01  I love spending time with family and giving and receiving gifts.)
557.01 -> 558.71  That's the best part.)
558.71 -> 561.91  Do you have any special Christmas traditions?)
561.91 -> 565.81  We decorate the tree together and bake cookies for Santa.)
565.91 -> 567.71  That sounds fun.)
567.71 -> 570.31  What's your favorite Christmas treat?)
570.31 -> 574.11  I love gingerbread cookies and hot chocolate.)
574.11 -> 577.81  Yum. Have you finished your Christmas shopping yet?)
577.81 -> 581.71  Not yet. I still have a few gifts to buy.)
581.71 -> 585.71  Same here. I hope we get everything in time.)
585.71 -> 590.31  I'm sure we will. It's all part of the Christmas excitement.)
590.31 -> 591.91  Absolutely.)
591.91 -> 594.91  Do you have any big plans for Christmas day?)
594.91 -> 599.11  We're having a big family dinner and then opening presents.)
599.11 -> 601.41  That sounds wonderful.)
601.41 -> 604.51  I hope you have a fantastic Christmas.)
604.51 -> 605.91  You too.)
605.91 -> 611.33  Wishing you a Merry Christmas and Happy Holidays.)
611.33 -> 614.93  Hi. Are you excited about Christmas this year?)
614.93 -> 618.93  Yes. I can't wait. It's my favorite holiday.)
618.93 -> 622.73  Me too. What do you like most about Christmas?)
622.73 -> 627.23  I love spending time with family and giving and receiving gifts.)
627.23 -> 628.93  That's the best part.)
628.93 -> 632.13  Do you have any special Christmas traditions?)
632.13 -> 636.03  We decorate the tree together and bake cookies for Santa.)
636.03 -> 637.93  That sounds fun.)
637.93 -> 640.53  What's your favorite Christmas treat?)
640.53 -> 644.33  I love gingerbread cookies and hot chocolate.)
644.33 -> 648.03  Yum. Have you finished your Christmas shopping yet?)
648.03 -> 651.93  Not yet. I still have a few gifts to buy.)
651.93 -> 655.93  Same here. I hope we get everything in time.)
655.93 -> 660.43  I'm sure we will. It's all part of the Christmas excitement.)
660.43 -> 665.13  Absolutely. Do you have any big plans for Christmas day?)
665.13 -> 669.33  We're having a big family dinner and then opening presents.)
669.33 -> 671.63  That sounds wonderful.)
671.63 -> 674.73  I hope you have a fantastic Christmas.)
674.73 -> 679.93  You too. Wishing you a Merry Christmas and Happy Holidays.)
679.93 -> 681.43  At a hotel.)
681.53 -> 684.03  Hi. I have a reservation.)
684.03 -> 687.13  Hello. Let me check your reservation.)
687.13 -> 689.33  My name is Sarah Davis.)
689.33 -> 691.83  Perfect. I found your reservation.)
691.83 -> 693.83  Could I see your ID please?)
693.83 -> 695.03  Here you go.)
695.03 -> 698.73  Thank you, Ms. Davis. You have a one-night stay booked.)
698.73 -> 700.63  Yes. That's correct.)
700.63 -> 705.63  Here's your room key. It's on the third floor, room number 305.)
705.63 -> 707.43  Thank you so much.)
707.43 -> 709.73  What time is check out tomorrow?)
709.73 -> 712.53  Check out is at 10 a.m.)
712.53 -> 715.13  Got it. Is breakfast included?)
715.13 -> 719.83  Yes. Breakfast is served from 7 a.m. to 10 a.m. in the dining area.)
719.83 -> 722.43  Great. Thank you for the information.)
722.43 -> 727.86  You're welcome. Enjoy your stay.)
727.86 -> 730.46  Hi. I have a reservation.)
730.46 -> 733.46  Hello. Let me check your reservation.)
733.46 -> 735.66  My name is Sarah Davis.)
735.66 -> 738.16  Perfect. I found your reservation.)
738.16 -> 740.16  Could I see your ID please?)
740.16 -> 741.36  Here you go.)
741.46 -> 745.16  Thank you, Ms. Davis. You have a one-night stay booked.)
745.16 -> 747.06  Yes. That's correct.)
747.06 -> 751.96  Here's your room key. It's on the third floor, room number 305.)
751.96 -> 753.86  Thank you so much.)
753.86 -> 756.06  What time is check out tomorrow?)
756.06 -> 758.96  Check out is at 10 a.m.)
758.96 -> 761.56  Got it. Is breakfast included?)
761.56 -> 766.26  Yes. Breakfast is served from 7 a.m. to 10 a.m. in the dining area.)
766.26 -> 768.86  Great. Thank you for the information.)
768.86 -> 772.26  You're welcome. Enjoy your stay.)
772.26 -> 774.06  Village life.)
774.06 -> 777.46  Hi. Have you ever experienced village life?)
777.46 -> 781.46  Hi there. Yes. I grew up in a village.)
781.46 -> 785.46  That's interesting. What's it like living in a village?)
785.46 -> 788.86  Life in a village is quiet and close knit.)
788.86 -> 791.46  People know each other well.)
791.46 -> 795.46  Sounds peaceful. Are there many farms in your village?)
795.46 -> 800.86  Yes. Farming is a common occupation and we have beautiful fields.)
800.86 -> 805.86  Nature must be lovely there. Any favorite village traditions?)
805.86 -> 811.06  The village fairs and festivals are the best. Everyone participates.)
811.06 -> 814.66  I've heard village festivals can be lots of fun.)
814.66 -> 818.66  They are. The whole village comes together for them.)
818.66 -> 821.36  How about transportation in the village?)
821.46 -> 826.26  Most people use bicycles or walk. It's a small place.)
826.26 -> 830.96  That's eco-friendly. What do you like most about village life?)
830.96 -> 835.46  I love the sense of community and the simple, peaceful lifestyle.)
835.46 -> 837.96  It sounds wonderful.)
837.96 -> 840.56  Thanks for sharing about village life.)
840.56 -> 847.98  You're welcome. It's a unique way of life.)
847.98 -> 851.38  Hi. Have you ever experienced village life?)
851.48 -> 855.48  Hi there. Yes. I grew up in a village.)
855.48 -> 859.38  That's interesting. What's it like living in a village?)
859.38 -> 862.78  Life in a village is quiet and close knit.)
862.78 -> 865.38  People know each other well.)
865.38 -> 869.48  Sounds peaceful. Are there many farms in your village?)
869.48 -> 874.88  Yes. Farming is a common occupation and we have beautiful fields.)
874.88 -> 879.88  Nature must be lovely there. Any favorite village traditions?)
879.98 -> 885.18  The village fairs and festivals are the best. Everyone participates.)
885.18 -> 888.68  I've heard village festivals can be lots of fun.)
888.68 -> 892.68  They are. The whole village comes together for them.)
892.68 -> 895.38  How about transportation in the village?)
895.38 -> 900.18  Most people use bicycles or walk. It's a small place.)
900.18 -> 904.98  That's eco-friendly. What do you like most about village life?)
904.98 -> 909.38  I love the sense of community and the simple, peaceful lifestyle.)
909.38 -> 911.88  It sounds wonderful.)
911.88 -> 914.48  Thanks for sharing about village life.)
914.48 -> 919.18  You're welcome. It's a unique way of life.)
919.18 -> 920.88  At the office.)
920.88 -> 923.18  Hello. How's your day going?)
923.18 -> 927.48  Hi. It's going well. Thanks. How about you?)
927.48 -> 931.08  Not too bad. Just busy with some tasks.)
931.08 -> 934.18  I understand that work can get hectic.)
934.18 -> 936.88  Have you heard about the staff meeting tomorrow?)
936.98 -> 941.48  Yes. I received the email about it. What time is it?)
941.48 -> 944.78  It's at 2 p.m. in the conference room.)
944.78 -> 947.48  All right. I'll mark it on my calendar.)
947.48 -> 950.58  Is anything specific on the agenda?)
950.58 -> 954.38  They mentioned project updates and team goals.)
954.38 -> 958.78  Thanks for the heads up. I'll prepare a brief report.)
958.78 -> 961.98  Great. See you at the meeting then.)
961.98 -> 967.64  Absolutely. Looking forward to it.)
967.64 -> 970.24  Hello. How's your day going?)
970.24 -> 974.24  Hi. It's going well. Thanks. How about yours?)
974.24 -> 977.84  Not too bad. Just busy with some tasks.)
977.84 -> 980.94  I understand that work can get hectic.)
980.94 -> 983.64  Have you heard about the staff meeting tomorrow?)
983.64 -> 988.14  Yes. I received the email about it. What time is it?)
988.14 -> 991.44  It's at 2 p.m. in the conference room.)
991.44 -> 994.14  All right. I'll mark it on my calendar.)
994.14 -> 997.24  Is anything specific on the agenda?)
997.34 -> 1001.14  They mentioned project updates and team goals.)
1001.14 -> 1005.54  Thanks for the heads up. I'll prepare a brief report.)
1005.54 -> 1008.74  Great. See you at the meeting then.)
1008.74 -> 1012.34  Absolutely. Looking forward to it.)
1012.34 -> 1013.94  At home.)
1013.94 -> 1016.34  Hi. How was your day today?)
1016.34 -> 1020.84  Hello. It was good. Thanks. How about you?)
1020.84 -> 1023.74  It was fine. Just a regular day.)
1023.74 -> 1026.74  Regular days can be nice sometimes.)
1026.84 -> 1028.94  How do you plan to spend tonight?)
1028.94 -> 1032.44  We have a movie night planned, watching a comedy.)
1032.44 -> 1036.14  Sounds fun. What time does it start?)
1036.14 -> 1039.24  We're starting at 8 p.m. in the living room.)
1039.24 -> 1042.34  Perfect. I'll get some popcorn ready.)
1042.34 -> 1045.34  Thanks. That's a great idea.)
1045.34 -> 1048.24  No problem. I love movie nights.)
1048.24 -> 1053.86  Me too. Enjoy the movie.)
1053.86 -> 1056.26  Hi. How was your day today?)
1056.36 -> 1060.76  Hello. It was good. Thanks. How about you?)
1060.76 -> 1063.76  It was fine. Just a regular day.)
1063.76 -> 1066.76  Regular days can be nice sometimes.)
1066.76 -> 1068.96  How do you plan to spend tonight?)
1068.96 -> 1072.36  We have a movie night planned, watching a comedy.)
1072.36 -> 1076.16  Sounds fun. What time does it start?)
1076.16 -> 1079.16  We're starting at 8 p.m. in the living room.)
1079.16 -> 1082.36  Perfect. I'll get some popcorn ready.)
1082.36 -> 1085.36  Thanks. That's a great idea.)
1085.36 -> 1088.26  No problem. I love movie nights.)
1088.26 -> 1092.06  Me too. Enjoy the movie.)
1092.06 -> 1093.86  Asking for leave.)
1093.86 -> 1097.06  Hi. I need to request some time off.)
1097.06 -> 1100.66  Hello. Of course. How long do you need?)
1100.66 -> 1103.76  I'd like to take three days off next week.)
1103.76 -> 1107.06  All right. Which dates are you thinking of?)
1107.06 -> 1110.56  I was thinking Monday, Wednesday, and Friday.)
1110.56 -> 1113.86  Got it. Let me check the team's schedule.)
1113.86 -> 1118.16  Thank you. I hope it doesn't cause any inconvenience.)
1118.16 -> 1122.16  No worries. We'll manage. Enjoy your time off.)
1122.16 -> 1126.16  I appreciate your understanding. Thanks.)
1126.16 -> 1132.46  You're welcome. Have a great break. Goodbye.)
1132.46 -> 1135.66  Hi. I need to request some time off.)
1135.66 -> 1139.26  Hello. Of course. How long do you need?)
1139.26 -> 1142.36  I'd like to take three days off next week.)
1142.36 -> 1145.66  All right. Which dates are you thinking of?)
1145.66 -> 1149.16  I was thinking Monday, Wednesday, and Friday.)
1149.16 -> 1152.46  Got it. Let me check the team's schedule.)
1152.46 -> 1156.66  Thank you. I hope it doesn't cause any inconvenience.)
1156.66 -> 1160.66  No worries. We'll manage. Enjoy your time off.)
1160.66 -> 1164.66  I appreciate your understanding. Thanks.)
1164.66 -> 1169.36  You're welcome. Have a great break. Goodbye.)
1169.36 -> 1171.06  A new smartphone.)
1171.06 -> 1174.56  Hi. Have you seen the new smartphone in stores?)
1174.56 -> 1177.86  Hello. Yes, I saw it recently.)
1177.86 -> 1180.76  That's cool. What do you think about it?)
1180.76 -> 1184.06  It looks sleek and has some nice features.)
1184.06 -> 1186.26  I heard it has a great camera.)
1186.26 -> 1189.76  Yes, the camera quality is impressive.)
1189.76 -> 1192.26  Nice. Do you plan to get one?)
1192.26 -> 1196.56  I'm thinking about it, but I'll compare it with other options first.)
1196.56 -> 1198.96  That sounds like a smart idea.)
1198.96 -> 1201.06  Have you considered getting it?)
1201.06 -> 1204.76  I'm thinking about it, too. Let's do some research.)
1204.76 -> 1210.22  Sure. Let's find the best one for us.)
1210.22 -> 1213.72  Hi. Have you seen the new smartphone in stores?)
1213.72 -> 1217.02  Hello. Yes, I saw it recently.)
1217.02 -> 1219.92  That's cool. What do you think about it?)
1219.92 -> 1223.22  It looks sleek and has some nice features.)
1223.22 -> 1225.42  I heard it has a great camera.)
1225.42 -> 1228.62  Yes, the camera quality is impressive.)
1228.62 -> 1231.22  Nice. Do you plan to get one?)
1231.22 -> 1235.42  I'm thinking about it, but I'll compare it with other options first.)
1235.42 -> 1237.82  That sounds like a smart idea.)
1237.82 -> 1239.92  Have you considered getting it?)
1239.92 -> 1241.92  I'm thinking about it, too.)
1241.92 -> 1243.72  Let's do some research.)
1243.72 -> 1247.42  Sure. Let's find the best one for us.)
1247.42 -> 1248.62  A red light.)
1248.62 -> 1251.92  Excuse me, sir. Didn't you see the red light?)
1251.92 -> 1255.92  Oh, I thought I could make a right turn on red here.)
1255.92 -> 1259.82  No, sir. The sign says, no turn on red.)
1259.92 -> 1262.62  Oh, I guess I didn't see it.)
1262.62 -> 1267.02  I'm sorry, sir, but may I see your driver's license, please?)
1267.02 -> 1269.02  Here they are.)
1269.02 -> 1270.82  Signed here, please.)
1270.82 -> 1274.12  You can appeal to the court within 14 days.)
1274.12 -> 1277.22  This slip has all the information you need.)
1277.22 -> 1281.51  Thank you, officer.)
1281.51 -> 1284.81  Excuse me, sir. Didn't you see the red light?)
1284.81 -> 1288.81  Oh, I thought I could make a right turn on red here.)
1288.81 -> 1292.71  No, sir. The sign says, no turn on red.)
1292.71 -> 1295.41  Oh, I guess I didn't see it.)
1295.41 -> 1299.81  I'm sorry, sir, but may I see your driver's license, please?)
1299.81 -> 1301.81  Here they are.)
1301.81 -> 1303.61  Signed here, please.)
1303.61 -> 1306.91  You can appeal to the court within 14 days.)
1306.91 -> 1310.01  This slip has all the information you need.)
1310.01 -> 1312.41  Thank you, officer.)
1312.41 -> 1314.11  Traffic accident.)
1314.11 -> 1317.21  Hello. Is this enterprise rent a car?)
1317.31 -> 1319.01  Yes, it is.)
1319.01 -> 1320.81  What can I do for you?)
1320.81 -> 1322.31  This is Jane.)
1322.31 -> 1325.71  I rented a car yesterday and I'm afraid I had a car accident)
1325.71 -> 1327.51  near the central park.)
1327.51 -> 1330.51  Sorry to hear that. Are you all right?)
1330.51 -> 1333.91  I'm all right, but my wife is seriously injured.)
1333.91 -> 1336.91  Will you call an ambulance and the police?)
1336.91 -> 1341.91  Okay. I'll do it right away, but can you tell me how it happened?)
1341.91 -> 1345.21  I ran into the guardrail when I turned to the right.)
1345.21 -> 1346.91  Thanks for explaining.)
1346.91 -> 1351.48  I will call the police immediately.)
1351.48 -> 1354.68  Hello. Is this enterprise rent a car?)
1354.68 -> 1356.38  Yes, it is.)
1356.38 -> 1358.18  What can I do for you?)
1358.18 -> 1359.68  This is Jane.)
1359.68 -> 1363.08  I rented a car yesterday and I'm afraid I had a car accident)
1363.08 -> 1364.88  near the central park.)
1364.88 -> 1367.88  Sorry to hear that. Are you all right?)
1367.88 -> 1371.28  I'm all right, but my wife is seriously injured.)
1371.28 -> 1374.18  Will you call an ambulance and the police?)
1374.18 -> 1379.08  Okay. I'll do it right away, but can you tell me how it happened?)
1379.28 -> 1382.58  I ran into the guardrail when I turned to the right.)
1382.58 -> 1387.58  Thanks for explaining. I will call the police immediately.)
1387.58 -> 1389.28  Domestic expenses.)
1389.28 -> 1392.28  Yesterday I got the gas and water bills.)
1392.28 -> 1394.78  How much is this going to cost?)
1394.78 -> 1397.08  About $300.)
1397.08 -> 1399.78  By what date do we have to pay?)
1399.78 -> 1401.28  This Saturday.)
1401.28 -> 1404.18  I have to drop by the bank to get some money.)
1404.18 -> 1407.28  How much money are you going to draw from the bank?)
1407.28 -> 1411.48  $400.)
1411.48 -> 1414.48  Yesterday I got the gas and water bills.)
1414.48 -> 1416.98  How much is this going to cost?)
1416.98 -> 1419.28  About $300.)
1419.28 -> 1421.98  By what date do we have to pay?)
1421.98 -> 1423.48  This Saturday.)
1423.48 -> 1426.38  I have to drop by the bank to get some money.)
1426.38 -> 1429.48  How much money are you going to draw from the bank?)
1429.48 -> 1432.08  $400.)
1432.08 -> 1433.78  Childhood friends.)
1433.78 -> 1437.58  Hi. It's been so long since we last met.)
1437.58 -> 1440.78  Hello. Yes, it's been ages.)
1440.78 -> 1443.58  I've missed you. How have you been?)
1443.58 -> 1448.28  I missed you too. I've been good. Thanks. How about you?)
1448.28 -> 1451.38  I'm doing well, just busy with work and life.)
1451.38 -> 1454.38  Life can get hectic, I understand.)
1454.38 -> 1457.48  Do you remember the fun times we had as kids?)
1457.48 -> 1461.48  Oh, absolutely. Those were the best times.)
1461.48 -> 1464.18  We should plan to catch up more often now.)
1464.18 -> 1467.78  I'd love that. Let's make plans soon.)
1467.78 -> 1471.08  It's great to see you again after all these years.)
1471.08 -> 1475.28  Let's stay in touch.)
1475.28 -> 1479.08  Hi. It's been so long since we last met.)
1479.08 -> 1482.28  Hello. Yes, it's been ages.)
1482.28 -> 1485.08  I've missed you. How have you been?)
1485.08 -> 1489.78  I missed you too. I've been good. Thanks. How about you?)
1489.78 -> 1492.88  I'm doing well, just busy with work and life.)
1492.88 -> 1495.78  Life can get hectic, I understand.)
1495.78 -> 1498.88  Do you remember the fun times we had as kids?)
1498.88 -> 1502.88  Oh, absolutely. Those were the best times.)
1502.88 -> 1505.58  We should plan to catch up more often now.)
1505.58 -> 1509.18  I'd love that. Let's make plans soon.)
1509.18 -> 1512.48  It's great to see you again after all these years.)
1512.48 -> 1515.28  Let's stay in touch.)
1515.28 -> 1516.68  Weather.)
1516.68 -> 1520.88  Good morning. Have you checked the weather forecast for today?)
1520.98 -> 1522.18  Good morning.)
1522.18 -> 1527.08  Yeah, I did. It looks like we're in for some rain later in the afternoon.)
1527.08 -> 1530.88  Oh, really? I was hoping for a sunny day.)
1530.88 -> 1533.18  Guess I'll need my umbrella then.)
1533.18 -> 1536.58  Yeah, better be prepared. It's going to get wet out there.)
1536.58 -> 1539.18  I heard it's going to be pretty windy too.)
1539.18 -> 1541.68  Do you think it'll cool down in the evening?)
1541.68 -> 1544.38  According to the weather report, it should.)
1544.38 -> 1546.48  It's going to get a bit chilly.)
1546.48 -> 1550.08  Good to know. I'll make sure to bring a jacket then.)
1550.08 -> 1551.88  That's a smart move.)
1551.88 -> 1555.28  Can't be too careful with the ever-changing weather.)
1555.28 -> 1559.98  Absolutely. Nature can be quite unpredictable.)
1559.98 -> 1561.78  Ain't that the truth?)
1561.78 -> 1566.89  We've got to be ready for anything.)
1566.89 -> 1571.09  Good morning. Have you checked the weather forecast for today?)
1571.09 -> 1572.29  Good morning.)
1572.29 -> 1577.19  Yeah, I did. It looks like we're in for some rain later in the afternoon.)
1577.19 -> 1580.99  Oh, really? I was hoping for a sunny day.)
1580.99 -> 1583.29  Guess I'll need my umbrella then.)
1583.29 -> 1586.69  Yeah, better be prepared. It's going to get wet out there.)
1586.69 -> 1589.29  I heard it's going to be pretty windy too.)
1589.29 -> 1591.69  Do you think it'll cool down in the evening?)
1591.69 -> 1594.49  According to the weather report, it should.)
1594.49 -> 1596.59  It's going to get a bit chilly.)
1596.59 -> 1600.19  Good to know. I'll make sure to bring a jacket then.)
1600.19 -> 1602.09  That's a smart move.)
1602.09 -> 1605.49  Can't be too careful with the ever-changing weather.)
1605.49 -> 1610.09  Absolutely. Nature can be quite unpredictable.)
1610.19 -> 1611.99  Ain't that the truth?)
1611.99 -> 1613.99  We've got to be ready for anything.)
